USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root          87  0.0  0.0      0     0 ?        I<   13:16   0:01 [kworker/0:1H-events_highpri]
root          88  0.0  0.0      0     0 ?        S    13:16   0:00 [kswapd0]
root          89  0.0  0.0      0     0 ?        S    13:16   0:00 [ecryptfs-kthread]
root          90  0.0  0.0      0     0 ?        I<   13:16   0:00 [kworker/R-kthro]
root          91  0.0  0.0      0     0 ?        S    13:16   0:00 [irq/122-aerdrv]
root          92  0.0  0.0      0     0 ?        S    13:16   0:00 [irq/122-pcie-dpc]
root          93  0.0  0.0      0     0 ?        S    13:16   0:00 [irq/124-aerdrv]
root          94  0.0  0.0      0     0 ?        S    13:16   0:00 [irq/124-pcie-dpc]
root          95  0.0  0.0      0     0 ?        I<   13:16   0:00 [kworker/R-acpi_]
root          98  0.0  0.0      0     0 ?        S    13:16   0:00 [hwrng]
root         101  0.0  0.0      0     0 ?        I<   13:16   0:00 [kworker/R-mld]
root         102  0.0  0.0      0     0 ?        I<   13:16   0:00 [kworker/6:1H-events_highpri]
root         103  0.0  0.0      0     0 ?        I<   13:16   0:00 [kworker/R-ipv6_]
root         111  0.0  0.0      0     0 ?        I<   13:16   0:00 [kworker/R-kstrp]
root         114  0.2  0.0      0     0 ?        I<   13:16   0:28 [kworker/u17:0-i915_flip]
root         119  0.0  0.0      0     0 ?        I<   13:16   0:00 [kworker/R-crypt]
root         130  0.0  0.0      0     0 ?        I<   13:16   0:00 [kworker/R-charg]
root         158  0.0  0.0      0     0 ?        I<   13:16   0:02 [kworker/7:1H-events_highpri]
root         169  0.0  0.0      0     0 ?        I<   13:16   0:00 [kworker/2:1H-events_highpri]
root         171  0.0  0.0      0     0 ?        I<   13:16   0:00 [kworker/3:1H-events_highpri]
root         189  0.0  0.0      0     0 ?        I<   13:16   0:00 [kworker/5:1H-kblockd]
root         190  0.0  0.0      0     0 ?        I<   13:16   0:01 [kworker/1:1H-events_highpri]
root         191  0.0  0.0      0     0 ?        I<   13:16   0:00 [kworker/4:1H]
root         199  0.0  0.0      0     0 ?        I<   13:16   0:00 [kworker/R-nvme-]
root         200  0.0  0.0      0     0 ?        I<   13:16   0:00 [kworker/R-nvme-]
root         201  0.0  0.0      0     0 ?        S    13:16   0:00 [scsi_eh_0]
root         202  0.0  0.0      0     0 ?        I<   13:16   0:00 [kworker/R-nvme-]
root         203  0.0  0.0      0     0 ?        I<   13:16   0:00 [kworker/R-scsi_]
root         204  0.0  0.0      0     0 ?        I<   13:16   0:00 [kworker/R-nvme-]
root         206  0.0  0.0      0     0 ?        S    13:16   0:00 [scsi_eh_1]
root         207  0.0  0.0      0     0 ?        I<   13:16   0:00 [kworker/R-scsi_]
root         209  0.0  0.0      0     0 ?        S    13:16   0:00 [irq/51-DELL08CC:00]
root         214  0.0  0.0      0     0 ?        I    13:16   0:03 [kworker/4:2-i915-unordered]
root         240  0.0  0.0      0     0 ?        I<   13:16   0:00 [kworker/R-raid5]
root         286  0.0  0.0      0     0 ?        S    13:16   0:00 [jbd2/nvme0n1p2-8]
root         287  0.0  0.0      0     0 ?        I<   13:16   0:00 [kworker/R-ext4-]
root         338  0.0  0.2  67096 18044 ?        S<s  13:16   0:00 /usr/lib/systemd/systemd-journald
root         399  0.0  0.1  30016  8324 ?        Ss   13:16   0:00 /usr/lib/systemd/systemd-udevd
root         408  0.0  0.0      0     0 ?        S    13:16   0:00 [psimon]
root         571  0.0  0.0      0     0 ?        I<   13:16   0:00 [kworker/R-cfg80]
root         592  0.0  0.0      0     0 ?        I<   13:16   0:00 [kworker/R-ttm]
root         599  0.0  0.0      0     0 ?        I<   13:16   0:00 [kworker/R-ath10]
root         600  0.0  0.0      0     0 ?        I<   13:16   0:00 [kworker/R-ath10]
root         601  0.0  0.0      0     0 ?        I<   13:16   0:00 [kworker/R-ath10]
root         602  0.0  0.0      0     0 ?        S    13:16   0:00 [card1-crtc0]
root         603  0.0  0.0      0     0 ?        S    13:16   0:00 [card1-crtc1]
root         604  0.0  0.0      0     0 ?        S    13:16   0:00 [card1-crtc2]
root         614  0.0  0.0      0     0 ?        S<   13:16   0:00 [spl_system_task]
root         615  0.0  0.0      0     0 ?        S<   13:16   0:00 [spl_delay_taskq]
root         616  0.0  0.0      0     0 ?        S<   13:16   0:00 [spl_dynamic_tas]
root         617  0.0  0.0      0     0 ?        S<   13:16   0:00 [spl_kmem_cache]
root         622  0.0  0.0      0     0 ?        S<   13:16   0:00 [zvol]
root         623  0.0  0.0      0     0 ?        S    13:16   0:00 [arc_prune]
root         624  0.0  0.0      0     0 ?        S    13:16   0:00 [arc_evict]
root         625  0.0  0.0      0     0 ?        SN   13:16   0:00 [arc_reap]
root         626  0.0  0.0      0     0 ?        S    13:16   0:00 [dbu_evict]
root         627  0.0  0.0      0     0 ?        SN   13:16   0:00 [dbuf_evict]
root         651  0.0  0.0      0     0 ?        SN   13:16   0:00 [z_vdev_file]
root         652  0.0  0.0      0     0 ?        S    13:16   0:00 [l2arc_feed]
systemd+     725  0.0  0.1  21712 13176 ?        Ss   13:16   0:01 /usr/lib/systemd/systemd-resolved
systemd+     766  0.0  0.1  91212  8020 ?        Ssl  13:16   0:00 /usr/lib/systemd/systemd-timesyncd
root         805  0.0  0.1 313664  8036 ?        Ssl  13:16   0:00 /usr/libexec/accounts-daemon
avahi        806  0.0  0.0   8612  4544 ?        Ss   13:16   0:00 avahi-daemon: running [Kirill.local]
root         808  0.0  0.0  13672  6784 ?        Ss   13:16   0:00 /usr/libexec/bluetooth/bluetoothd
root         809  0.0  0.0   9788  2944 ?        Ss   13:16   0:00 /usr/sbin/cron -f -P
message+     810  0.0  0.0  11128  6692 ?        Ss   13:16   0:02 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root         815  0.0  0.0  82972  4108 ?        Ssl  13:16   0:00 /usr/sbin/irqbalance
polkitd      828  0.0  0.1 391164 12096 ?        Ssl  13:16   0:00 /usr/lib/polkit-1/polkitd --no-debug
root         835  0.0  0.0 310084  7056 ?        Ssl  13:16   0:00 /usr/libexec/switcheroo-control
root         841  0.0  0.1  18148  9088 ?        Ss   13:16   0:00 /usr/lib/systemd/systemd-logind
root         842  0.0  0.1 425264 10660 ?        Ssl  13:16   0:00 /usr/sbin/thermald --systemd --dbus-enable --adaptive
root         843  0.0  0.1 258772 14696 ?        Ssl  13:16   0:09 /usr/bin/touchegg --daemon
root         845  0.0  0.1 469244 14456 ?        Ssl  13:16   0:01 /usr/libexec/udisks2/udisksd
avahi        874  0.0  0.0   8420  1452 ?        S    13:16   0:00 avahi-daemon: chroot helper
root         894  0.0  0.2 337172 20388 ?        Ssl  13:16   0:04 /usr/sbin/NetworkManager --no-daemon
root         901  0.0  0.1  18396 12380 ?        Ss   13:16   0:00 /usr/sbin/wpa_supplicant -u -s -O DIR=/run/wpa_supplicant GROUP=netdev
syslog       931  0.0  0.0 222508  6472 ?        Ssl  13:16   0:00 /usr/sbin/rsyslogd -n -iNONE
root         971  0.0  0.1 392172 12584 ?        Ssl  13:16   0:00 /usr/sbin/ModemManager
root         995  0.0  0.1 317740  9900 ?        Ssl  13:16   0:04 /usr/libexec/upowerd
root        1056  0.0  0.1  38608 12024 ?        Ss   13:16   0:00 /usr/sbin/cupsd -l
root        1072  0.0  0.0 380080  7540 ?        SLsl 13:16   0:00 /usr/sbin/lightdm
root        1081  6.2  1.3 897576 111148 tty7    Ssl+ 13:16  11:44 /usr/lib/xorg/Xorg -core :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch
root        1086  0.0  0.0   9068  2004 tty1     Ss+  13:16   0:00 /sbin/agetty -o -p -- \u --noclear - linux
root        1110  0.0  0.0      0     0 ?        S    13:16   0:00 [psimon]
rtkit       1140  0.0  0.0  22940  3492 ?        SNsl 13:16   0:00 /usr/libexec/rtkit-daemon
root        1181  0.0  0.0      0     0 ?        S<   13:16   0:00 [krfcommd]
root        1224  0.0  0.1 236472  9608 ?        Sl   13:16   0:00 lightdm --session-child 13 20
cups-br+    1272  0.0  0.2 268396 20064 ?        Ssl  13:17   0:00 /usr/sbin/cups-browsed
kernoops    1274  0.0  0.0  12744  2468 ?        Ss   13:17   0:00 /usr/sbin/kerneloops --test
kernoops    1277  0.0  0.0  12744  2384 ?        Ss   13:17   0:00 /usr/sbin/kerneloops
kirill      1293  0.0  0.1  20488 11780 ?        Ss   13:17   0:00 /usr/lib/systemd/systemd --user
kirill      1294  0.0  0.0  23148  3780 ?        S    13:17   0:00 (sd-pam)
kirill      1305  0.0  0.1 116932 15288 ?        S<sl 13:17   0:00 /usr/bin/pipewire
kirill      1306  0.0  0.0  98100  6228 ?        Ssl  13:17   0:00 /usr/bin/pipewire -c filter-chain.conf
kirill      1308  0.0  0.2 407300 19040 ?        S<sl 13:17   0:00 /usr/bin/wireplumber
kirill      1309  0.0  0.2 123228 22968 ?        S<sl 13:17   0:00 /usr/bin/pipewire-pulse
kirill      1310  0.0  0.1 317000 10584 ?        SLsl 13:17   0:00 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1000/keyring
kirill      1314  0.0  0.0  10560  6352 ?        Ss   13:17   0:01 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
kirill      1332  0.0  0.1 625240 15448 ?        Ssl  13:17   0:00 /usr/lib/x86_64-linux-gnu/cinnamon-session-binary --session cinnamon
kirill      1425  0.0  0.5 759316 43496 ?        Sl   13:17   0:01 /usr/bin/csd-power
kirill      1426  0.0  0.3 450172 25384 ?        Sl   13:17   0:00 /usr/bin/csd-automount
kirill      1427  0.0  0.0 303796  5740 ?        Sl   13:17   0:00 /usr/bin/csd-screensaver-proxy
kirill      1428  0.0  0.0 309672  6292 ?        Ssl  13:17   0:00 /usr/libexec/xdg-permission-store
kirill      1429  0.0  0.1 317896 11232 ?        Sl   13:17   0:00 /usr/bin/csd-print-notifications
kirill      1435  0.0  0.3 376736 25468 ?        Sl   13:17   0:00 /usr/bin/csd-wacom
kirill      1436  0.0  0.1 383088  8132 ?        Sl   13:17   0:00 /usr/libexec/at-spi-bus-launcher --launch-immediately
kirill      1437  0.0  0.3 525532 26884 ?        Sl   13:17   0:00 /usr/bin/csd-color
kirill      1447  0.0  0.3 376264 24856 ?        Sl   13:17   0:00 /usr/bin/csd-housekeeping
kirill      1452  0.0  0.0 304196  6500 ?        Sl   13:17   0:00 /usr/bin/csd-settings-remap
kirill      1454  0.0  0.3 594128 27716 ?        Sl   13:17   0:00 /usr/bin/csd-media-keys
kirill      1455  0.0  0.0   9684  5324 ?        S    13:17   0:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus_0
kirill      1456  0.0  0.5 455176 46776 ?        Sl   13:17   0:01 /usr/bin/csd-background
kirill      1460  0.0  0.0 305192  6604 ?        Sl   13:17   0:00 /usr/bin/csd-a11y-settings
kirill      1462  0.0  0.3 302064 24336 ?        Sl   13:17   0:00 /usr/bin/csd-clipboard
kirill      1468  0.0  0.3 377884 26996 ?        Sl   13:17   0:00 /usr/bin/csd-xsettings
kirill      1472  0.0  0.3 376056 25448 ?        Sl   13:17   0:01 /usr/bin/csd-keyboard
kirill      1478  0.0  0.1 314656  8304 ?        Ssl  13:17   0:00 /usr/libexec/gvfsd
kirill      1484  0.0  0.0 230360  6216 ?        Ssl  13:17   0:00 /usr/libexec/dconf-service
kirill      1500  0.0  0.0 460084  7496 ?        Sl   13:17   0:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
kirill      1529  0.0  0.1 236176  8280 ?        Sl   13:17   0:01 /usr/libexec/at-spi2-registryd --use-gnome-session
kirill      1534  0.0  0.1 389704 10532 ?        Ssl  13:17   0:00 /usr/libexec/gvfs-udisks2-volume-monitor
kirill      1540  0.0  0.0 310164  6800 ?        Ssl  13:17   0:00 /usr/libexec/gvfs-mtp-volume-monitor
colord      1550  0.0  0.1 320552 14996 ?        Ssl  13:17   0:00 /usr/libexec/colord
kirill      1552  0.0  0.0 311132  7256 ?        Ssl  13:17   0:00 /usr/libexec/gvfs-gphoto2-volume-monitor
kirill      1564  0.0  0.0 310136  6892 ?        Ssl  13:17   0:00 /usr/libexec/gvfs-goa-volume-monitor
kirill      1574  0.0  0.3 547032 24336 ?        Sl   13:17   0:00 /usr/libexec/goa-daemon
kirill      1586  0.0  0.5 542016 40268 ?        Sl   13:17   0:00 cinnamon-launcher
kirill      1588  0.0  0.1 389492  9536 ?        Sl   13:17   0:00 /usr/libexec/goa-identity-service
kirill      1594  0.0  0.1 389740  8332 ?        Ssl  13:17   0:00 /usr/libexec/gvfs-afc-volume-monitor
kirill      1608  0.0  0.1 416568 15280 ?        Sl   13:17   0:00 /usr/libexec/csd-printer
kirill      1621  9.9  2.4 4692064 196384 ?      Sl   13:17  18:39 cinnamon --replace
kirill      1649  0.0  0.3 451652 30200 ?        Sl   13:17   0:00 /usr/lib/x86_64-linux-gnu/xapps/xapp-sn-watcher
kirill      1664  0.0  0.0 310624  6592 ?        Sl   13:17   0:00 /usr/libexec/geoclue-2.0/demos/agent
kirill      1665  0.0  0.3 301832 24656 ?        Sl   13:17   0:00 /usr/lib/policykit-1-gnome/polkit-gnome-authentication-agent-1
kirill      1668  0.0  0.7 805988 62544 ?        Sl   13:17   0:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
kirill      1672  0.0  0.8 857088 70344 ?        Sl   13:17   0:04 /usr/bin/nemo-desktop
kirill      1675  0.0  0.7 631232 59544 ?        Sl   13:17   0:00 /usr/bin/python3 /usr/bin/blueman-applet
kirill      1676  0.0  0.5 547244 46052 ?        Sl   13:17   0:01 /usr/bin/nm-applet
kirill      1681  0.0  0.4 392708 37904 ?        Sl   13:17   0:00 cinnamon-killer-daemon
kirill      1757  0.0  0.5 1127524 42784 ?       Ssl  13:17   0:00 /usr/libexec/evolution-source-registry
kirill      1780  0.0  0.3 1169932 24808 ?       Ssl  13:17   0:00 /usr/libexec/evolution-calendar-factory
kirill      1812  0.0  0.3 752192 30280 ?        Ssl  13:17   0:00 /usr/libexec/evolution-addressbook-factory
kirill      1816  0.0  0.1  49064  8316 ?        Ss   13:17   0:00 /usr/libexec/bluetooth/obexd
kirill      1820  0.1  0.5 394420 40952 ?        Sl   13:17   0:12 /usr/bin/python3 /usr/bin/blueman-tray
kirill      1878  0.0  0.1 609808  9236 ?        Sl   13:17   0:00 /usr/libexec/gvfsd-trash --spawner :1.28 /org/gtk/gvfs/exec_spaw/0
kirill      1890  0.0  0.0 236740  6748 ?        Ssl  13:17   0:00 /usr/libexec/gvfsd-metadata
kirill      1941  0.0  1.1 896316 93804 ?        Sl   13:17   0:00 mintUpdate
kirill      2003  0.0  0.4  63744 37020 ?        S    13:17   0:00 /usr/bin/python3 /usr/share/system-config-printer/applet.py
kirill      2010  0.5  0.6 482808 51032 ?        Sl   13:17   1:00 mintreport-tray
kirill      2030  0.0  0.2 564268 18272 ?        Ssl  13:17   0:01 /usr/libexec/xdg-desktop-portal
kirill      2035  0.0  0.0 536924  7700 ?        Ssl  13:17   0:00 /usr/libexec/xdg-document-portal
root        2041  0.0  0.0   2704  2056 ?        Ss   13:17   0:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
kirill      2044  0.0  0.0 384148  7280 ?        Ssl  13:17   0:00 /usr/libexec/xdg-desktop-portal-xapp
kirill      2063  0.0  0.3 450952 26656 ?        Ssl  13:17   0:00 /usr/libexec/xdg-desktop-portal-gtk
kirill      2086  1.0  3.7 34308868 298848 ?     SLl  13:18   1:56 /opt/google/chrome/chrome
kirill      2092  0.0  0.0   8792  2060 ?        S    13:18   0:00 cat
kirill      2093  0.0  0.0   8792  2064 ?        S    13:18   0:00 cat
kirill      2095  0.0  0.0 33577932 3776 ?       Sl   13:18   0:00 /opt/google/chrome/chrome_crashpad_handler --monitor-self --monitor-self-annotation=ptype=crashpad-handler --database=/home/kirill/.config/google-chrome/Crash Reports --metrics-dir=/home/kirill/.config/google-chrome --url=https://clients2.google.com/cr/report --annotation=channel= --annotation=lsb-release=Linux Mint 22 --annotation=plat=Linux --annotation=prod=Chrome_Linux --annotation=ver=129.0.6668.89 --initial-client-fd=5 --shared-client-connection
kirill      2097  0.0  0.0 33568696 3500 ?       Sl   13:18   0:00 /opt/google/chrome/chrome_crashpad_handler --no-periodic-tasks --monitor-self-annotation=ptype=crashpad-handler --database=/home/kirill/.config/google-chrome/Crash Reports --url=https://clients2.google.com/cr/report --annotation=channel= --annotation=lsb-release=Linux Mint 22 --annotation=plat=Linux --annotation=prod=Chrome_Linux --annotation=ver=129.0.6668.89 --initial-client-fd=4 --shared-client-connection
kirill      2103  0.0  0.7 33935972 60364 ?      S    13:18   0:00 /opt/google/chrome/chrome --type=zygote --no-zygote-sandbox --string-annotations --crashpad-handler-pid=2095 --enable-crash-reporter=a11b8cf9-d3b1-401d-80e1-b00d42e0cbb5, --change-stack-guard-on-fork=enable
kirill      2104  0.0  0.7 33935964 60740 ?      S    13:18   0:00 /opt/google/chrome/chrome --type=zygote --string-annotations --crashpad-handler-pid=2095 --enable-crash-reporter=a11b8cf9-d3b1-401d-80e1-b00d42e0cbb5, --change-stack-guard-on-fork=enable
kirill      2106  0.0  0.2 33935988 17144 ?      S    13:18   0:00 /opt/google/chrome/chrome --type=zygote --string-annotations --crashpad-handler-pid=2095 --enable-crash-reporter=a11b8cf9-d3b1-401d-80e1-b00d42e0cbb5, --change-stack-guard-on-fork=enable
kirill      2133 18.7  2.6 34964220 210036 ?     Sl   13:18  34:51 /opt/google/chrome/chrome --type=gpu-process --string-annotations --crashpad-handler-pid=2095 --enable-crash-reporter=a11b8cf9-d3b1-401d-80e1-b00d42e0cbb5, --no-subproc-heap-profiling --change-stack-guard-on-fork=enable --gpu-preferences=UAAAAAAAAAAgAAAEAAAAAAAAAAAAAAAAAABgAAEAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAQAAABAAAAAAAAAAEAAAAAAAAAAIAAAAAAAAAAgAAAAAAAAA --shared-files --field-trial-handle=3,i,13027975223686283145,3836661190528014272,262144 --variations-seed-version=20241008-180117.502000
kirill      2134  0.4  1.5 33969276 124016 ?     Sl   13:18   0:49 /opt/google/chrome/chrome --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --string-annotations --crashpad-handler-pid=2095 --enable-crash-reporter=a11b8cf9-d3b1-401d-80e1-b00d42e0cbb5, --no-subproc-heap-profiling --change-stack-guard-on-fork=enable --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,13027975223686283145,3836661190528014272,262144 --variations-seed-version=20241008-180117.502000
kirill      2145  0.0  0.7 34003556 62204 ?      Sl   13:18   0:01 /opt/google/chrome/chrome --type=utility --utility-sub-type=storage.mojom.StorageService --lang=en-US --service-sandbox-type=utility --string-annotations --crashpad-handler-pid=2095 --enable-crash-reporter=a11b8cf9-d3b1-401d-80e1-b00d42e0cbb5, --no-subproc-heap-profiling --change-stack-guard-on-fork=enable --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,13027975223686283145,3836661190528014272,262144 --variations-seed-version=20241008-180117.502000
kirill      2182  1.4  2.9 1211973908 236828 ?   Sl   13:18   2:45 /opt/google/chrome/chrome --type=renderer --string-annotations --crashpad-handler-pid=2095 --enable-crash-reporter=a11b8cf9-d3b1-401d-80e1-b00d42e0cbb5, --no-subproc-heap-profiling --change-stack-guard-on-fork=enable --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=5 --time-ticks-at-unix-epoch=-1728472608716957 --launch-time-ticks=88321501 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,13027975223686283145,3836661190528014272,262144 --variations-seed-version=20241008-180117.502000
kirill      2251  0.0  2.3 1211965744 187852 ?   Sl   13:18   0:09 /opt/google/chrome/chrome --type=renderer --string-annotations --crashpad-handler-pid=2095 --enable-crash-reporter=a11b8cf9-d3b1-401d-80e1-b00d42e0cbb5, --no-subproc-heap-profiling --change-stack-guard-on-fork=enable --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=9 --time-ticks-at-unix-epoch=-1728472608716957 --launch-time-ticks=93345095 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,13027975223686283145,3836661190528014272,262144 --variations-seed-version=20241008-180117.502000
kirill      2252  0.0  2.0 1211939884 163784 ?   Sl   13:18   0:01 /opt/google/chrome/chrome --type=renderer --string-annotations --crashpad-handler-pid=2095 --enable-crash-reporter=a11b8cf9-d3b1-401d-80e1-b00d42e0cbb5, --no-subproc-heap-profiling --change-stack-guard-on-fork=enable --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=8 --time-ticks-at-unix-epoch=-1728472608716957 --launch-time-ticks=93357284 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,13027975223686283145,3836661190528014272,262144 --variations-seed-version=20241008-180117.502000
kirill      2258  0.0  1.8 1213594204 150020 ?   Sl   13:18   0:01 /opt/google/chrome/chrome --type=renderer --string-annotations --crashpad-handler-pid=2095 --enable-crash-reporter=a11b8cf9-d3b1-401d-80e1-b00d42e0cbb5, --no-subproc-heap-profiling --change-stack-guard-on-fork=enable --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=10 --time-ticks-at-unix-epoch=-1728472608716957 --launch-time-ticks=93367578 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,13027975223686283145,3836661190528014272,262144 --variations-seed-version=20241008-180117.502000
